lastname,firstname,surname,organization,position,phone,email
Усольцев Олег Владимирович,,,ФНС,главный специалист,8(495)710-22-22,
Мартиняхина Вита Витальевна,,,Минфин,,+7(495)748-45-11,martinyakhina@minfin.ru
Мартиняхина,Вита,,Минфин,,,
Лукина,Ольга,,МВД,инспектор,8(495)123-45-67,lukina_olga@mvd.ru
Лукина,Оксана,,ФСБ,аналитик,8(499)999-88-77,lukina_oksana@fsb.ru
Лагунцов Иван Сергеевич,,,Газпром,,8-911-222-33-44,laguntsov@gazprom.ru
Лагунцов,Иван,,,менеджер,,
Петров,Иван,Сергеевич,Газпром,,8-911-222-33-44,
Петров Иван,,,Газпром,менеджер,,petrov@gazprom.ru
Смирнова,Ольга,Петровна,,,+79991112233,olga@mail.ru
Иванов Олег,,,РЖД,,+7(900)123-45-67 доб. 999,ivanov@rzd.ru
